"city_name","hotel_name","hotel_star","review_reviewername","review_reviewerloc","review_quote","review_text"
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","SaltyPineapple","
Gold Coast, Australia
","Awarta Made Me Fall in Love With Bali","If you're looking for the ultimate luxury experience in Nusa Dua, then I would definitely recommend a stay at Awarta Luxury Villas & Spa. My villa was equipped with everything I needed and more including: an outdoor living area with a convenient espresso machine/stocked mini bar, a beautiful pool with cascading wall of trickling water, 2 comfortable beach loungers for laying out, a traditional Balinese style outdoor bed for midday naps amongst lush greenery. Then there was the indoor living area...The bedroom and bathroom were out of this world. My favorite feature was the magnificent soaking tub equipped with television and beautiful Balinese decor. The outdoor shower was spectacular and such a treat. I loved being greeted every morning with the sweet fragrance of the enormous plumeria tree directly above the shower. It was true paradise! The wifi was strong throughout the villa and I enjoyed having the iPod dock to charge my iPhone and play music."
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","rteh2016","
Jakarta, Indonesia
","Awarta wedding","We had one of the best travel and holiday experience of our life. Everyone was helpful and friendly. The breakfast served in bed is amazing. the lunch and dinner at the property is really yummy. We had the thai fish for lunch and dinner for the days we stayed there. How we love all the food served at the property. Its truly a remarkable experience"
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","Jaybac","
Surat, Australia
","Out of the world!!","Checking in was very smooth & courteous, butler staff really made you feel at home. Total satisfaction made us the king & queen!! Cannot ask for moreFood,stay & ambience everything was to the mark"
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","RobertSal","
Madrid, Spain
","Fantastic Stay With Family","We were looking for a quiet luxury holiday with the kids and the team at Awarta delivered. The villas are fantastic, we stayed at villa #1, and the private pool as perfect. The food was very good, both at the restaurants and when delivered as room service (at the same prices). The staff went out of their way to cater to our requirements, including the kids' allergies and my ""paleo"" diet. Very pleased, would return."
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","Eirin W","
","Perfect for a relaxing vacation (or honeymoon)","Georgeous and huge villas, lovely garden areas and a perfect environment to enjoy a relaxing or romantic vacation. Delicious food is offered in two different restaurants inside the hotel area. There is a professional spa which is offering any treatment you want, and a free gym for guests as well. Everyone in the staff is so friendly, smiling and espescially serviceminded. We felt like King and Queen during the whole holiday and can really recommend this beautiful place for couples that want a quiet and luxurious holiday in a private environment."
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","Wahyu S","
","The best hotel to stay and the food is fabulous","If you are looking for a place to relax and escape from the city, then The Awarta luxury villa and spa is by far the most outstanding place go to, whether it's with your friends ,family or as an individual. The facility, sanity and environment in the hotel gives a warm and welcoming atmosphere towards all guests. In addition to that, Awarta's ambiance is filled with luxury and glamour, where their interior is simple but unique. I personally enjoy laying on Awarta's personalised bed where the service provides you with incredibly comfortable pillows. And last but certainly not the least, the food provided strongly satisfies many guests and leaves them longing for more."
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","sethlestath","
Bali, Indonesia
","The romantic attainment of peacefulness in Nusa Dua","I was amazed to see a soothing ambience around me. Inside the villa, the one bedroom that we stayed was a real luxury. A stunning swimming pool complete with timber deck welcomed us along the gorgeous teakwood floors. I didn’t know that the sense of tranquility I was experiencing was just the tip of an iceberg. Much more was still to come. With a private pool and spacious outdoor and indoor dining and living areas, I can visualized the romantic moments I was about to experience with my wife. There is nothing as rejuvenating as a romantic time with your loved one."
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","9Sterling9","
Hong Kong, China
","Wonderful, wonderful!!!","Stayed 4 days 3 nights, it was amazing!!! The check- in was great, our great Butler "" Angus"" gave us a tour of the hotel before taking us to our room. Our room was great!!! had the outdoor living & dining room with a good size pool, two outdoor showers and one indoors.Bfast had so many choices and restaurants was good! All staffs was great but I must say a special thank you to ""Dixla"" (I think that's how his name was spelled) for looking after us and making our trip a memorable one! Just the one think maybe they need to improve is that given there's only 15-16 villas in the hotel and not full all the time, they should have briefing to all staff which guest is from which villa so that they do not need to ask which Room you in. Will surely be back!!! Oh! the Spa was superb, best in Bali!!!"
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","Harrison C","
","很好的酒店!!!!!!","我们感觉非常满足,因为在这villa任务非常好,风景也真漂亮!!!太好了我们可以住非常好的villa!!感谢你们的服务!!! (东北客人)有机会中国朋友可以在饭店的中国餐厅式式!!口味挺不错啊!!!!还有在这里的环境让我们可以轻松的休息谢谢!!We highly recommended this villa because services is very good, we really glad that we can stay in this kind of villaAll friends from China, please also try chinese restaurant in this villa because taste is very good !! And also we can have proper rest from our hectic activity Thank you very much"
"Bali","Awarta Nusa Dua Luxury Villas & Spa","5","docingaeta","
","Unforgettable honeymoon in Awarta","My wife and me we spent 10 nights in this wonderful resort where the accommodation, the villa, food and spa treatments were excellent. The pool in the villa and the bathtub were like in our dreams. The staff, professional and friendly, gave us the real feeling of being like in our own luxury house. The complex is new build in a beautiful style. Mr. Resa and all his collegues took care of us with all attentions in a way as we never got before in resorts. Thanks to everybody in Awarta! Thank you for complementary treatments during our stay. Don't miss this experience in BaliPaolo e Nadia"
