"city_name","hotel_name","hotel_star","review_reviewername","review_reviewerloc","review_quote","review_text"
"Bali","Anantara Uluwatu Bali Resort","0","Bingah","Jakarta, Indonesia","Beautiful resort","Setelah menyetir sekitarb1 jam dari Bandara kami tiba di hotel dan disambut oleh layaknya sebuat resort: anak tangga yang banyak menuju reception :)Dengan membawa orang tua di atas umur 70 tahun cukuplah membuat mereka lelah, untungnya ada ramp yang sangat membantu. Reception nya cukup bagus dengan lantai marmer mahal dan cantik. Semua staffs sangat ramah dan memberikan service yang cepat. December adalah bulan yang panas di Bali, kami menyewa 3 kamar suite room menghadap ocean view dengan salah satunya memiliki private pool. Mungkn lebih tepatnya 'plunge pool' karena hanya bisa untuk berenang sekali kayuh saja. Kamar tidur dan area duduk luas sekali dengan sofa bentuk L yang sangat modern dan nyaman, meskipun sudah mulai terlihat bercak2 noda tapi belum membuat kami jijik. Bar dilengkapi dengan Nespresso mesin kopi yang enak dan unlimited capsules.Lantai marmer yang adem tapi menjadi licin saat AC dimatikan dan udara lembab masuk ke kamar. Kamar mandi juga luas dan nyaman dengan rain shower dan hand shower. Teras cukup nyaman untuk ngobrol dan untuk berendam karena jacuzzi ada disini.Makan pagi sangatlah beragam dan semuanya lezatPemandangan ke laut sangat indah dan terbuka, sayangnya pantai yang hanya terjadi pada saat laut surut tidak dapat pula kami kunjungi karena jembatan dari lift ke pantai sedang rusak. Beberapa gunung dapat dilihat juga dari teras kamar kami... sangat indahPerjalanan ke arah kota cukup melelahkan karena seringkali macet dan cukup jauh. Bila anda tidak berniat jalan2 ke arah keramaian dan hanya menikmati hotel saja hotel ini sangat disarankan"
"Bali","Anantara Uluwatu Bali Resort","0","AnnelisBrilian","Jakarta, Indonesia","Paket lengkap buat honeymooners","Hotel ini punya segala rupa yang dicari honeymooners: tenang, tidak crowded, kamar luas dan nyaman, pemandangan bagus, dan keunikannya Anantara punya jacuzzi di balkon yang langsung menghadap ke laut dan sunset spot.Saya menginap dengan pasangan di ocean view suite lantai 4, dan puas dengan view plus ambiencenya. Area kamar mandinya luas, dengan fasilitas yang lumayan lengkap juga. Sempet panik gak bawa ikatan rambut, tapi mereka menyediakan sampai hal sedetail itu. Bahkan kalau perlu bobby pins juga mereka menyediakan. Hehe.Anantara punya banyak sekali tangga, dan ini wajar untuk hotel cliff side berkonsep seperti terasering. Kolam renangnya menghadap laut dan enak buat bersantai karena ga crowded. Mungkin karena pas saya datang kebanyakan juga tamu hotelnya pasangan, jadi suasananya tenang banget.Oh iya, chapel-nya juga favorite spot banget untuk foto :p"
"Bali","Anantara Uluwatu Bali Resort","0","Meily A","Tangerang, Indonesia","Tempat honeymoon yang berkualitas!","Dari melihat fotonya sudah langsung suka banget sama hotel ini... Bagi yang berbulan madu dengan tujuan mencari ketenangan, tempat ini sangat direkomendasikan.. Kamarnya sangat luas, pemandangan lautnya indah, disediakan juga jacuzzi di balkon, sarapan dengan banyak pilihan dan enak! Saya pasti akan kembali lagi kesana..."
"Bali","Anantara Uluwatu Bali Resort","0","Delapanmay","Jakarta, Indonesia","Pemandangan yang LUAR BIASA!!!","Saya mengunjungi hotel ini berdua dengan kakak, untuk lokasi memang agak sedikit jauh, tapi ketika saya masuk, semua terbayarkan, di lobby sudah terlihat pantai. Saat saya diantarkan untuk ke kamar, saya terkejut dengan pemandangan kamar yang langsung ke laut dengan jacuzzi ada di balkon. Fantastic!!! Dengan kamar yang luass...dan ada speaker di kamar jadi bisa play music dari music player kita. Dan kamar mandi yang luas, dengan dua wastafel. Ditambah lagi kolam renang yang menghadap pantai. Saya sangat suka, two thumbs up. Untuk sarapan, agak kurang cocok dengan selera saya dan kurang bervariasi."
"Bali","Anantara Uluwatu Bali Resort","0","Syailandri","Jakarta, Indonesia","Kewwll hotelll :)","pertama kali dateng kesini dan suka sama infinity poolnya plus view yg langsung pantai. Makanan resto hotelpun enak, makanan candle light dinner nya juga enyak.. tp sayang agak pricey sihh, cuma kalo untuk honeymoon moment si bagusss bangeeeettt :)"
"Bali","Anantara Uluwatu Bali Resort","0","Dita A","Medan, Indonesia","LOVE IT!!!!","Saya visit dalam rangka honeymoon, dan seperti hotel di Bali lainnya pihak hotel akan memberikan cake atau hiasan simple kalau kita informasikan bahwa stay kita adalah dalam rangka honeymoon! Saya request secara spesifik untuk kamar yg menghadap ke laut, dan benar saja dikasi kamar view ke Laut! Sangat menenangkan dan romantiiisss, pagi Dan malam bisa mendengar suara deburan ombak langsung dari kamar.. Kamar nya luas dan nyaman, kamar mandi juga sangat baguuss... Untuk harga memang bersaing dengan five star hotel lainnya di Bali.. Namun harga sepadan dengan kamar Dan service yang diberikan... Breakfast di hotel ini juga menu2 nya termasuk lengkap dengan view yg juga menghadap ke laut... Sepertinya setiap kamar juga dilengkapi dengan bathtub jacuzzi dibagian teras kamar! Proses check in sangat smooth dengan greetings dan refreshing welcome drink.. Overall hotel ini sangat sangat cocok untuk honeymooners! I love everything about this hotel that I wish never leave my room!"
"Bali","Anantara Uluwatu Bali Resort","0","l3l1","","Kamar luas dengan pemandangan pantai yg indah","lokasi hotel agak terpencil dan jauh dari mana2, jadi lebih cocok untuk orang yg ingin menghabiskan waktu seharian di hotel saja. Ukuran kamar sangat besar dan luas, dilengkapi dengan jacuzzi yg menghadap ke laut lepas, sungguh rileks dan menyenangkan"
"Bali","Anantara Uluwatu Bali Resort","0","YolandaOctavia","Surabaya, Indonesia","Cliff Resort dengan Ocean View","Anantara Uluwatu merupakan hotel yang berada di tebing Pecatu di area Uluwatu. Lokasi hotel ini memang sangat menantang karena pas terletak di tebing pantai.Yang menarik dari hotel ini adalah kamar yang sangat luas dan juga setiap kamar memiliki jacuzzi dengan pemandangan ke laut. Yang bagus di hotel ini adalah Poolnya yang infinity, seakan-akan kita berenang di lautan :) Breakfast hotel termasuk okay, ada juice kesehatan juga di menu makan pagi-nyaUntuk menuju ke beach club, kita bisa menggunakan lift"
"Bali","Anantara Uluwatu Bali Resort","0","grace1bvision","Bandung, Indonesia","Resort yang indah dan menyenangkan","Sebuah resort yang terletak di uluwatu dengan pemandangan laut yang indah disertai dengan kolam renang yang bagus mengarah ke pantai , dengan kamar-kamar yang nyaman dilengkapi dengan fasilitas spa , gym dan lain-lain . Tersedia beberapa restoran dengan berbagai menu yang nikmat cocok bagi kalangan tua dan muda.Resort ini memiliki chapel yang indah cocok pula bagi yang akan melangsungkan pesta pernikahan yang berkesan."
"Bali","Anantara Uluwatu Bali Resort","0","clvadeaco","Jakarta, Indonesia","pemandangan yang sangat bagus","sesampainya di hotel ini langsung disambut dengan tangga menuju lobi yang cukup tinggi. tetapi setelah itu setelah pemandangan di lobbi yang luar biasa, rasa cape langsung hilang...:) saya menginap dengan pasangan, dan menempati Ocean View Pool Suite yang sangat menawan. begitu buka pintu kamar langsung bisa melihat pemandangan laut yang sangat indah. diteras depan juga terdapat jacuzzi yang selama menginap disini menjadi tempat pasangan saya untuk relax. beruntung kami memilih tipe kamar ini karena letak kamar cukup tinggi dan pada saat kami menginap kamar-kamar sebelah juga kosong. jadi kami dapat menikmati jacuzzi dan teras secara private. untuk makanan disini biasa saja. tidak istimewa dan harga jg cukup mahal.pelayanan jg ok saja, tidak spesial."
