"city_name","hotel_name","hotel_star","review_reviewername","review_reviewerloc","review_quote","review_text"
"Lombok","The Oberoi, Lombok","0","clvadeaco","Jakarta, Indonesia","Hotel Terbaik","baru pertama kali saya ke lombok dan mencoba hotel ini. awalnya melihat review2 sebelumnya saya agak ragu. tapi karena hotel ini mengusung nama Oberoi akhirnya saya putuskan untuk mencoba. saya booking langsung ke hotelnya untuk 1 villa ocean view with private pool. ternyata.............the best hotel eveerrr!!!! pelayanannya yang flawless. pemandangan yang begitu indah saat memasuki lobby, villa yang istimewa dengan pool yang bersih. sarapan dan makan malam di resto pun sempurna. villa yang tenang sangat cocok untuk bulan madu.hari terakhir saya mencoba ke pulau gili air dengan boat dari hotel ini. pelayanan sama istimewanya. my bf mencoba diving, sedangkan saya cukup menikmati pemandangan yg indah ditemani dengan makanan dan minuman yang disediakan dari hotel.dari sering mencoba hotel2 berbintang, saya blm pernah menemukan hotel sebaik ini dan sesempurna ini. BRAVO!!!"
"Lombok","The Oberoi, Lombok","0","Fantony","Jakarta, Indonesia","Resort yg cocok untuk honeymoon","Berlokasi cukup jauh sktr 1.5jm perjalanan dr airport, resort ini menawarkan pemandangan yg indah dan romantis. Kamarnya cukup besar dilengkapi dgn attach bathroom dgn bathtub yg besar dan kolam ikan di entrancenya. View di kolam renangnya jg fantastis, resort ini sangat tenang dan cocok untuk pasangan honeymooner."
"Lombok","The Oberoi, Lombok","0","saku_rere","Denpasar, Indonesia","Sorga yang tersembunyi","Dimanakah anda bisa temukan sorga yang tersembunyi? Datanglah ke The Oberoi Lombok yang terletak di Pantai Medana, Tanjung di Lombok. Penerbangan dari Lombok pun sekarang ini sudah sangat banyak dengan keberadaan Bandara Internasional Lombok (BIL) di Praya Lombok Tengah. Perjalanan dari BIL menuju The Oberoi dapat ditempuh sekitar 1.5 jam.Setibanya di The Oberoi Lombok, kami sudah disambut dengan hangat oleh staf front office, dan kami begitu terpukau ketika kami diantar ke kamar dan suasana sekitar dan pantai nya yang biru dan suara ombak dan desiran angin pantai yang segar. Seketika itu pun saya langsung ingin menikmati kesegaran pantai di tepi hotel, keindahan pantai dan kenyamanan tinggal di The Oberoi tidak dapat saya jabarkan begitu indah dalam tulisan, lebih baik buktikan langsung dan datang ke The Oberoi Lombok untuk menginap dan menikmati keindahan Sorga yang tersembunyi."
"Lombok","The Oberoi, Lombok","0","roysush","Singapura, Singapura","Lupakan Bali...Lombok adalah tempat yang Anda inginkan","Kami pergi ke Bali sedikitnya enam kali dan memutuskan untuk bereksperimen dengan pulau Lombok, yang memiliki penerbangan langsung dari Singapura. Pemilihan akan Oberoi sangat didasarkan pada ulasan di TripAdvisor dan saya senang untuk melaporkan bahwa ratingnya sangat akurat. Mengemudi ke hotel dari bandara memakan waktu 90 menit namun hal ini tidak bisa dihindari jika Anda menginginkan penginapan berkualitas yang handal. Pantainya tidak sangat bagus namun Anda bisa naik kapal menuju kepulauan Gili dengan mudah (15 menit). Menyelam di permukaan dan menyelam ke dalam laut sangat disarankan. Kami melakukan perjalanan menuju air terjun, mengunjungi desa yang masih asli, dan menaiki kereta kuda gratis menuju pasar lokal. Paviliun di tepi laut sangatlah indah; sarapan menjadi makanan yang penting hari itu. Spa harus dicoba. Pegawai sangat sopan dan sangat tanggap. Periksa bagaimana cuaca di musim hujan untuk menghindari kekecewaan. Salah satu resor terbaik kami di ASEAN."
"Lombok","The Oberoi, Lombok","0","michael c","London, Inggris Raya","Oberoi Lombok","Sebagus Oberoi di Mauritius, bahkan mungkin lebih baik karena resornya menghadap ke teluk yang sensasional dengan pantai sepanjang bermil-mil dan masih kosong. Kamarnya luas dan kamar mandinya merupakan karya seni. Semua pegawainya adalah warga lokal dan sangat terlatih. Sarapannya banyak dan menyehatkan seperti juga semua makanannya. Sangat disarankan."
"Lombok","The Oberoi, Lombok","0","Ann0707","Singapura, Singapura","Mengagumkan","Kami mengina di Oberoi Lombok Resort selama dua malam pada bulan Desember 2012. Hotelnya terletak di pulau kecil yang indah, di samping Bali. Dari bandara ke hotel, saya bisa melihat pantai di sepanjang perjalanan. Benar-benar hotel yang mewah. Layanannya juga sangat bagus. Kami menikmati banyak aktivitas di hotel, seperti bersepeda di kebun hijau, berenang di kolam dengan pemandangan pantai, melihat pemandangan ikan-ikan berenang bebas di air, sementara kami mendayung kano, dan pengalaman yang paling tidak terlupakan adalah menyelam di permukaan di pantai hotel. Pengalaman yang sangat menakjubkan, karena hanya beberapa langkah dari hotel kami bisa melihat mahluk laut yang indah secara langsung, sama seperti yang kami lihat di acara TV Animal Planet. Meskipun kami sangat pemula dalam penyelaman di permukaan, namun petugas memandu kami dengan hati-hati, bahkan berenang bersama kami saling berdampingan, sehingga kami tidak perlu takut, namun menikmati waktu kami dengan sangat baik. Terima kasih banyak!!"
"Lombok","The Oberoi, Lombok","0","Jacky314","Bristol, Inggris Raya","Wah, sebuah surga, tidak ingin pergi!","Saya dan saudari saya menginap di Oberoi selama 4 malam di bulan September dan mulai saat kami turun dari taxi, pelayanannya luar biasa, sampai ketika kami harus pergi dengan berat hati! Tempat yang indah dan kami merasa seperti berada di khayangan. Semua staffnya sangat perhatian mulai dari Harry yang menjaga kami dan memastikan kami tidak kehabisan minuman dingin ketika kami sedang berjemur di bawah matahari yang megah, sampai kepada pelayan di restoran dan staff di spa. Makanannya juga sungguh lezat dan menginspirasi, dan kami tidak merasa bahwa harganya mahal, tentu saja kami merekomendasikan makanan lokalnya. Dan pergelangan kaki saudari saya terkilir ketika kami berada di sana dan staff resepsionis langsung mengantarkannya ke dokter dan menyediakan obat-obatan tanpa mengenakan tarif.Kami merekomendasikan wisata menyelam ke kepulauan Gili di mana kami melihat sangat banyak ikal koral dan beberapa kura-kura. Kami menempati kamar dengan pemandangan laut yang sangat indah dan luas. Kamar mandinya luas. Ini adalah kali kedua saya menginap di Hotel Oberoi dan tentu saja akan tinggal di sini lagi pada kesempatan liburan yang akan datang."
"Lombok","The Oberoi, Lombok","0","CODICECOMMUNICATIONS","JAKARTA","Menyukainya!","Ini adalah pertama kalinya ke Lombok dan agen perjalanan menyarankan kami untuk mengunjungi tempat ini. Tempat ini cukup jauh dari bandara (dengan bandara internasional yang baru) namun sangat layak di kunjungi. Senyum dan keramahan dari staf membuat kamu akan menyukai tempat ini."
"Lombok","Les Villas Ottalia","0","krshn","Surabaya, Indonesia","Hotel Tempat Honeymoon yang unik dan memorable","Hotel ini menawarkan kamar yang unik dan suasana yang romantis, sangat sesuai dengan pasangan yang suka keheningan. sarapan yang disajikan cukup unik, semi prasmanan tapi rasanya menurut saya agak hambar, tapi lumayan memberikan pengalaman yang unik."
"Lombok","Les Villas Ottalia","0","austententen","Bandung, Indonesia","dimajakan dengan ketenangan dan interior seperti rumah sendiri","dari awal kedatangan saya nilai cukup baik, lingkungan hotel penuh dengan bunga sangat menarik mata. cukup jauh awalnya untuk mengakses tempat ini namun rasa jauh itu terbayarkan ketika saya sampai dikamar. kolam renang , kamar , suasana cukup puas saya menginap disini. sarapannya pun cukup enak , membuat saya pagi pagi tak usak pergi jauh jauh untuk memesan makanan. villa ini juga menyediakan sepeda untuk berjalan jalan di gili trawangan, jadi tak usah lagi mencari penyewaan sepeda. harga yang ditawarkan pun saya rasa sepadan dengan fasilitas yang saya nikmati disini. terima kasih buat para pegawai disini membuat liburan saya cukup nyaman selama 4hari bersama teman teman saya, tunggu kami kembali saat musim liburan mendatang."
